"Depth Limit","Generated Nodes","Visited Nodes","Time Taken (ms)"
"1","50","50","48.0"
"2","431","431","143.0"
"3","3328","3328","414.0"
"4","26302","26302","3304.0"
"5","210638","210638","22104.0"
"6","1678018","1678018","176198.0"
"7","13248456","13248456","1370429.0"
"8","103392049","103392049","1.0618516E7"
