"Depth Limit","Generated Nodes","Visited Nodes","Time Taken (ms)"
"1","10","7","100.0"
"2","162","76","16.0"
"3","1783","784","80.0"
"4","22991","10371","428.0"
"5","530097","257413","11952.0"
"6","11820590","6086336","359170.0"
"7","292620191","166479692","5.2822518E7"
