"Depth Limit","Generated Nodes","Visited Nodes","Time Taken (ms)"
"1","13","13","0.0"
"2","101","101","41.0"
"3","631","631","96.0"
"4","3510","3510","401.0"
"5","18075","18075","1026.0"
"6","87051","87051","5470.0"
"7","392556","392556","25514.0"
"8","1658726","1658726","109380.0"
"9","6584118","6584118","448581.0"
"10","24627627","24627627","1685167.0"
"11","87149969","87149969","6262657.0"
