"Depth Limit","Generated Nodes","Visited Nodes","Time Taken (ms)"
"1","12","12","17.0"
"2","31","31","0.0"
"3","54","54","16.0"
"4","76","76","16.0"
"5","97","97","40.0"
"6","122","122","48.0"
"7","133","133","42.0"
"8","145","145","28.0"
"9","148","148","15.0"
"10","150","150","35.0"
"11","154","154","16.0"
"12","156","156","15.0"
"13","156","156","30.0"
