"Depth Limit","Generated Nodes","Visited Nodes","Time Taken (ms)"
"1","14","14","28.0"
"2","159","159","101.0"
"3","2023","2023","262.0"
"4","25093","25093","2315.0"
"5","282958","282958","27452.0"
"6","2892842","2892842","303452.0"
"7","27154910","27154910","2871472.0"
"8","237182484","237182484","2.81743E7"
