"Depth Limit","Generated Nodes","Visited Nodes","Time Taken (ms)"
"1","82","82","31.0"
"2","843","843","128.0"
"3","7602","7602","537.0"
"4","62514","62514","3679.0"
"5","510700","510700","27558.0"
"6","4036980","4036980","232195.0"
"7","30004914","30004914","1839230.0"
"8","209126972","209126972","1.1399922E7"
