"Depth Limit","Generated Nodes","Visited Nodes","Time Taken (ms)"
"1","19","17","112.0"
"2","345","405","48.0"
"3","4324","11101","136.0"
"4","46837","269261","1753.0"
"5","523501","6687115","44646.0"
"6","6531203","166292733","1.5436426E7"
