"Depth Limit","Generated Nodes","Visited Nodes","Time Taken (ms)"
"1","19","19","16.0"
"2","51","51","45.0"
"3","148","148","31.0"
"4","441","441","47.0"
"5","1270","1270","95.0"
"6","3560","3560","151.0"
"7","9363","9363","350.0"
"8","23979","23979","1020.0"
"9","60538","60538","3055.0"
"10","151690","151690","14089.0"
"11","380062","380062","73742.0"
"12","956114","956114","500684.0"
"13","2420509","2420509","3683324.0"
"14","6168212","6168212","2.9718522E7"
