"Depth Limit","Generated Nodes","Visited Nodes","Time Taken (ms)"
"1","198","198","58.0"
"2","3225","3225","226.0"
"3","50433","50433","1902.0"
"4","750744","750744","28496.0"
"5","10539844","10539844","430752.0"
"6","139665811","139665811","5992573.0"
