"Depth Limit","Generated Nodes","Visited Nodes","Time Taken (ms)"
"1","13","13","19.0"
"2","144","144","78.0"
"3","1619","1619","214.0"
"4","17621","17621","1507.0"
"5","178295","178295","13483.0"
"6","1715217","1715217","130745.0"
"7","16044303","16044303","1231874.0"
"8","147370196","147370196","1.4068985E7"
