"Depth Limit","Generated Nodes","Visited Nodes","Time Taken (ms)"
"1","19","19","40.0"
"2","270","270","183.0"
"3","3674","3674","1006.0"
"4","48478","48478","12196.0"
"5","620890","620890","155009.0"
"6","7734418","7734418","1822833.0"
"7","93918176","93918176","2.1743171E7"
